Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10uF,C15525
"C10, C16",0402,2,0.01uF,C15195
C11,CP_EIA-7343-15_Kemet-W,1,220uF,C116743
C12,CP_Elec_4x5.4,1,10uF,C72485
"C13, C14",1206,2,0.1uF,C24497
C15,CP_Elec_6.3x5.4,1,220uF,C72494
C2,0402,1,1nF,C1523 
C3,0402,1,1uF,C52923
"C4, C6, C7",0402,3,0.1uF,C307331
C5,CP_EIA-3216-18_Kemet-A,1,10uF,C7171
"C8, C9",0805,2,4.7uF,C98192
"CN1, CN2",PinSocket_1x19_P2.54mm_Vertical,2,Conn_01x19,C2897382
D1,D_SMA,1,B360A,C6807778
D2,D_SMA,1,B340A,C64982
D3,D_SOD-323,1,"CUS10S30,H3F",C146335
D4,D_SOD-123,1,BZT52C10-7-F,C155227
D5,D_SOD-123FL,1,PTVS24VS1UR-N,C5148487
D6,D_SOD-123,1,MMSZ5255B-7-F,C145091
D7,D_SMA,1,SS34,C8678
DC1,CUI_PJ-002B,1,PJ-002B,
DSub1,DSUB_9POS_F_RA,1,DMR-9S,C141882
F2,1812,1,33V 750mA,C369169
J1,P5.08mm_2POS_Right,1,P5.08_2POS,C3697
J2,P3.50mm_4POS_Right_TE,1,P3.50_4POS,C395831
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
L1,IND-SMD_L3.5-W3.0,1,10uH,C492254
L2,L_Sunlord_MWSA1005S,1,22uH,C7587746
"Q1, Q2",SOT-23,2,Q_NMOS_GSD,C112239 
Q3,SOT-23,1,"2N7002,215",C65189
R1,0603,1,1.2MΩ,C22766
R10,0402,1,3.24kΩ,C162875
"R11, R12, R14, R5, R6, R7, R8",0603,7,10kΩ,C25804
"R13, R9",0402,2,10kΩ,C25744
R15,0603,1,1.6kΩ,C22847
R16,0603,1,3.3kΩ,C22978
R17,1206,1,1.1kΩ,C2933776
R18,1206,1,750Ω,C17985
"R19, R20",1206,2,10kΩ,C17902
R2,0603,1,137kΩ,C321717
U1,SOT-23-5,1,TPS61040DBVR,C7722
U2,SOT-23-6,1,MCP4725xxx-xCH,C144198
U3,SOT-23-5,1,TLV2371IDBVR,C55940
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm,1,TPS5430DDAR,C9864
U5,SOT-23-5,1,AP2161WG-7,
USB1,MICRO-USB-SMD_MICROXNJ,1,MICROXNJ,
USB2,MICRO-USB-SMD_MICRO-21-P2-T3,1,MICRO-21-P2-T3,
