Designator,Footprint,Quantity,Value,LCSC Part #
"C17, C18, C19, C20, C21, C22",0603,6,1uF,C5673
C23,0805,1,10uF,C15850
"C24, C25, C26, C27, C28",0603,5,1uF,C15849
"D10, D8, D9",D_SOD-123,3,MBR0530,C5204746
DSub1,DSUB_9POS_RA,1,DMR-9P,C141880
FPC1,FFC-SMD_24P-P0.50_8.01A0.024200,1,8.01A0.024200,C19188801
"H1, H2, H3_2, H3, H4",MountingHole_2.7mm,5,MountingHole,
JP3,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
"JP4, JP5",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Open,
L3,L_Coilcraft_LPS3010,1,100uH,C17180027
Q4,SOT-23,1,Q_NMOS_GSD,C67276
R21,0603,1,2.55Ω,C482801
R22,0603,1,0.47Ω,C23411
R3,0603,1,1MΩ,C22935
R4,0603,1,100kΩ,C25803
