Designator,Mid X,Mid Y,Rotation,Layer
C17,86.11,-72.758331,270.0,top
C18,87.711144,-72.758331,270.0,top
C19,89.377814,-72.758331,270.0,top
C20,88.135,-76.458331,180.0,top
C21,92.502814,-76.9,0.0,top
C22,97.235,-65.47,0.0,top
C23,83.877814,-77.12,270.0,top
C24,82.226214,-72.758331,270.0,top
C25,83.848434,-72.758331,270.0,top
C26,92.502814,-78.558331,0.0,top
C27,91.477814,-72.758331,270.0,top
C28,93.277814,-72.758331,90.0,top
D10,95.726214,-76.893331,90.0,top
D8,88.077814,-78.558331,0.0,top
D9,98.226214,-76.893331,90.0,top
DSub1,232.219,-74.912482,180.0,bottom
FPC1,86.427814,-65.753331,180.0,top
L3,80.877814,-77.34,270.0,top
Q4,76.6975,-78.308331,180.0,top
R21,76.826214,-72.758331,270.0,top
R22,80.337324,-72.758331,90.0,top
R3,72.885,-69.27,180.0,top
R4,78.581769,-72.758331,270.0,top
